src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,proto_num,norm_key,norm_ts,label
192.168.100.135,192.168.100.122,56216,80,6,2025-08-05 02:27:23,11.00163,110.71086738965043,0.9089562183058328,0.4544781091529164,0.4544781091529164,5,5,406,812,92,66,81.2,12.432216214336043,548,66,162.4,192.8,548,66,121.8,142.51863036108648,20311.560000000005,100,100,20,3,1.2224033333333333,10.000162,0.0,3.1190700983717,11.001625,10.000173,0.0,2.75040625,4.20557112111562,11.001619,10.000176,9e-06,2.75040475,4.205567397850936,3,1,0,0,2,0,0,4,10,0,0,1.0,121.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.2,162.4,0,5,5,406,812,6,"('192.168.100.122', '80', '192.168.100.135', '56216', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56224,80,6,2025-08-05 02:27:23,11.001987,116.25172798331792,0.9089267238726968,0.4544633619363484,0.4544633619363484,5,5,467,812,116,66,93.4,22.87006777427649,548,66,162.4,192.8,548,66,127.9,141.55454778988909,20037.689999999995,100,100,20,3,1.2224430000000002,10.000158,0.0,3.11906878924542,11.001983000000001,10.000173,0.0,2.7504957500000002,4.205535927226004,11.001971999999999,10.000179,1.9e-05,2.750493,4.205537600540268,3,1,0,0,2,0,0,4,10,0,0,1.0,127.9,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4,162.4,0,5,5,467,812,6,"('192.168.100.122', '80', '192.168.100.135', '56224', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56232,80,6,2025-08-05 02:27:23,11.187768,111.997317069857,0.8938333365511333,0.44691666827556664,0.44691666827556664,5,5,441,812,116,66,88.2,23.051247254758255,548,66,162.4,192.8,548,66,125.3,142.2252087360043,20228.009999999995,100,100,20,3,1.2430853333333334,10.000155,0.0,3.118144672690904,11.187751,10.000173,0.0,2.79693775,4.18695469364408,11.18775,10.000179,3.7e-05,2.7969375000000003,4.186938876160393,3,1,0,0,2,0,0,4,10,0,0,1.0,125.3,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,162.4,0,5,5,441,812,6,"('192.168.100.122', '80', '192.168.100.135', '56232', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56238,80,6,2025-08-05 02:27:23,12.192778,101.53551553222735,0.8201576375785731,0.41007881878928654,0.41007881878928654,5,5,426,812,100,66,85.2,15.829087149927503,548,66,162.4,192.8,548,66,123.8,142.13078484269337,20201.159999999996,100,100,20,3,1.354753111111111,10.000149,0.0,3.132109055114725,12.192753,10.000173,0.0,3.04818825,4.112330867542663,12.192754,10.000178,4.6e-05,3.0481884999999997,4.1122966703187585,3,1,0,0,2,0,0,4,10,0,0,1.0,123.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,162.4,0,5,5,426,812,6,"('192.168.100.122', '80', '192.168.100.135', '56238', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56244,80,6,2025-08-05 02:27:23,12.294908,106.06016734732786,0.8133448416206124,0.4066724208103062,0.4066724208103062,5,5,492,812,130,66,98.4,27.015551077111123,548,66,162.4,192.8,548,66,130.4,141.33237421058203,19974.839999999997,100,100,20,3,1.3661008888888888,10.000145,0.0,3.135302174382184,12.294886,10.000173,0.0,3.0737215,4.107253107127956,12.29488,10.000181,2.8e-05,3.07372,4.107215106884408,3,1,0,0,2,0,0,4,10,0,0,1.0,130.4,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,162.4,0,5,5,492,812,6,"('192.168.100.122', '80', '192.168.100.135', '56244', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56246,80,6,2025-08-05 02:27:23,13.261703,96.44311895689414,0.7540509691703998,0.3770254845851999,0.3770254845851999,5,5,467,812,119,66,93.4,22.729716232280595,548,66,162.4,192.8,548,66,127.9,141.54324427538037,20034.489999999998,100,100,20,3,1.4735225555555556,10.00014,0.0,3.1815077196388124,13.261695999999999,10.000174,0.0,3.3154239999999997,4.0826687549488385,13.261669000000001,10.000182,4e-05,3.3154172500000003,4.082652773435146,3,1,0,0,2,0,0,4,10,0,0,1.0,127.9,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4,162.4,0,5,5,467,812,6,"('192.168.100.122', '80', '192.168.100.135', '56246', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56260,80,6,2025-08-05 02:27:23,13.238988,96.38198931821677,0.7553447438731721,0.37767237193658604,0.37767237193658604,5,5,464,812,116,66,92.8,22.648620267027304,548,66,162.4,192.8,548,66,127.6,141.6101691263731,20053.439999999995,100,100,20,3,1.4709986666666666,10.000134,0.0,3.1800812154479816,13.238971,10.000174,0.0,3.30974275,4.082759414684348,13.238948,10.00018,2.8e-05,3.309737,4.082715594677763,3,1,0,0,2,0,0,4,10,0,0,1.0,127.6,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.8,162.4,0,5,5,464,812,6,"('192.168.100.122', '80', '192.168.100.135', '56260', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56272,80,6,2025-08-05 02:27:23,13.194069,94.13320485136161,0.7579163031510597,0.37895815157552987,0.37895815157552987,5,5,430,812,104,66,86.0,17.11139970896595,548,66,162.4,192.8,548,66,124.2,142.0970091170113,20191.559999999998,100,100,20,3,1.4660076666666666,10.000169,0.0,3.1773485286814926,13.194047,10.000176,0.0,3.29851175,4.083001743082678,13.194061999999999,10.000176,3.6e-05,3.2985154999999997,4.082946894097541,3,1,0,0,2,0,0,4,10,0,0,1.0,124.2,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,162.4,0,5,5,430,812,6,"('192.168.100.122', '80', '192.168.100.135', '56272', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56274,80,6,2025-08-05 02:27:23,13.190974,93.62462544464115,0.7580941331549891,0.37904706657749454,0.37904706657749454,5,5,423,812,98,66,84.6,15.226293048539425,548,66,162.4,192.8,548,66,123.5,142.17963989263723,20215.05,100,100,20,3,1.465663777777778,10.000161,0.0,3.1771585591916973,13.190956,10.000176,0.0,3.297739,4.083021766746168,13.190959000000001,10.000175,3e-05,3.2977397500000003,4.082967412164367,3,1,0,0,2,0,0,4,10,0,0,1.0,123.5,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6,162.4,0,5,5,423,812,6,"('192.168.100.122', '80', '192.168.100.135', '56274', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56288,80,6,2025-08-05 02:27:23,14.222837,86.90249350393314,0.7030946076369996,0.3515473038184998,0.3515473038184998,5,5,424,812,120,66,84.8,19.742340286804904,548,66,162.4,192.8,548,66,123.6,142.42977216860243,20286.239999999998,100,100,20,3,1.5803152222222223,10.000157,0.0,3.2549906756635445,14.222819,10.000176,0.0,3.55570475,4.100673385547023,14.222818,10.000177,2.8e-05,3.5557045000000005,4.100594668832467,3,1,0,0,2,0,0,4,10,0,0,1.0,123.6,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,162.4,0,5,5,424,812,6,"('192.168.100.122', '80', '192.168.100.135', '56288', '6')",2025-08-05 02:27:23,
