src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.100.135,192.168.100.122,49888,80,6,2025-08-07 03:49:13,20.700465,86.90626031830685,0.7246214034322417,0.3864647484971956,0.3381566549350461,8,7,847,952,291,66,105.875,71.76600431262702,548,66,136.0,168.22094315003025,548,66,119.93333333333334,127.19510822180057,16178.59555555556,160,140,20,3,1.478604642857143,10.000152,0.0,3.423375306058202,20.70046,10.000199,0.0,2.957208571428572,4.366546569495227,20.700457,10.00016,1.5e-05,3.450076166666667,4.532543478690503,3,1,0,0,2,3,0,4,13,0,0,0.875,119.93333333333334,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.875,136.0,0,8,7,847,952
192.168.100.41,192.168.100.122,32062,80,6,2025-08-07 03:48:36,0.002934,419563.73551465577,3067.4846625766872,2044.9897750511248,1022.4948875255624,6,3,464,767,134,66,77.33333333333333,25.34210374499762,635,66,255.66666666666663,268.229172330097,635,66,136.77777777777777,177.4196392597554,31477.72839506173,120,60,20,1,0.00036675,0.001497,0.0,0.0005820469804921,0.002934,0.001618,0.0,0.0005868,0.0007009009630468,0.001664,0.001553,0.000111,0.000832,0.000721,1,1,0,0,2,0,0,2,9,0,0,0.5,136.77777777777777,16120,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.33333333333333,255.66666666666663,0,6,3,464,767
192.168.100.135,192.168.100.122,60238,80,6,2025-08-07 03:46:43,129.517985,12.724101598708472,0.1080930961055331,0.061767483488876,0.046325612616657,8,6,762,886,242,66,95.25,56.43525050887964,548,66,147.66666666666666,179.05833934471997,548,66,117.71428571428572,127.41127364978826,16233.632653061228,160,120,20,2,9.962921923076925,109.0838,0.0,28.90463813800121,129.517985,109.083826,0.0,18.502569285714287,37.33092760474697,20.434179,14.8892,2.7e-05,4.086835799999999,5.810481525370696,2,1,0,0,2,4,0,3,11,0,0,0.75,117.71428571428572,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.25,147.66666666666666,0,8,6,762,886
192.168.100.135,192.168.100.122,59640,80,6,2025-08-07 03:48:52,20.850029,82.30204380051462,0.6235003318220804,0.3357309479041971,0.2877693839178833,7,6,830,886,390,66,118.57142857142856,111.18948709665104,548,66,147.66666666666666,179.05833934471997,548,66,132.0,147.19113685691394,21665.23076923077,140,120,20,2,1.7375024166666668,19.838799,0.0,5.4646819468235055,20.850011,19.838817,0.0,3.475001833333333,7.3271997740070836,20.850023,19.83883,1.6e-05,4.1700046,7.843933974341844,2,1,0,0,2,3,0,3,11,0,0,0.8571428571428571,132.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.57142857142856,147.66666666666666,0,7,6,830,886
192.168.100.41,192.168.100.122,36435,80,6,2025-08-07 03:40:56,130.880945,11.162816711019316,0.0916863795566268,0.0611242530377512,0.0305621265188756,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,11.898267727272726,130.877085,0.0,37.62440559331455,130.880945,130.877085,0.0,18.697277857142858,45.79721449467226,0.002384,0.001225,0.000109,0.0007946666666666,0.0004900750509417,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,35480,80,6,2025-08-07 03:41:19,198.559946,13.97059203470976,0.1107977738873881,0.0705076742919742,0.0402900995954138,14,8,1092,1682,134,66,78.0,23.12697867982636,635,66,210.25,245.2512742066797,635,66,126.0909090909091,162.0485081951218,26259.719008264456,280,160,20,2,9.455235523809524,120.116551,0.0,29.84262644584929,198.559946,120.116551,0.0,15.273842,36.73908757954122,78.442228,78.436156,9.5e-05,11.206032571428567,27.44658296501996,2,2,0,0,4,6,0,4,18,0,0,0.5714285714285714,126.0909090909091,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,210.25,0,14,8,1092,1682
192.168.100.135,192.168.100.122,46762,80,6,2025-08-07 03:47:48,20.684194,88.6183914152033,0.7251914191096834,0.3867687568584978,0.3384226622511856,8,7,881,952,302,66,110.125,75.30012865194853,548,66,136.0,168.22094315003025,548,66,122.2,128.04905310075512,16396.56,160,140,20,3,1.4774424285714287,10.000165,0.0,3.3496024230395016,20.684187,10.000198,0.0,2.9548838571428573,4.251370400439081,20.684185,10.000191,2.5e-05,3.447364166666667,4.403268281777276,3,1,0,0,2,3,0,4,13,0,0,0.875,122.2,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.125,136.0,0,8,7,881,952
192.168.100.135,192.168.100.122,50170,80,6,2025-08-07 03:49:14,20.595679,86.57155707272385,0.728308107734637,0.3884309907918064,0.3398771169428305,8,7,831,952,291,66,103.875,71.79038497598407,548,66,136.0,168.22094315003025,548,66,118.86666666666666,127.32418815326837,16211.448888888885,160,140,20,3,1.4711199285714287,10.000098,0.0,3.326065739954348,20.595666,10.000134,0.0,2.942238,4.218692335639767,20.595639,10.000144,2.6e-05,3.4326065,4.368095678937857,3,1,0,0,2,3,0,4,13,0,0,0.875,118.86666666666666,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.875,136.0,0,8,7,831,952
192.168.100.41,192.168.100.122,36705,80,6,2025-08-07 03:41:07,193.359171,7.555886759568286,0.0620606715364951,0.0413737810243301,0.020686890512165,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,17.578106454545452,193.353504,0.0,55.58506129461542,193.359171,193.353504,0.0,27.62273871428571,67.65930161397637,0.004725,0.003284,0.000164,0.001575,0.0012910468620464,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,34906,80,6,2025-08-07 03:41:23,202.440857,13.702767519898416,0.108673715010009,0.0691560004609148,0.0395177145490942,14,8,1092,1682,134,66,78.0,23.12697867982636,635,66,210.25,245.2512742066797,635,66,126.0909090909091,162.0485081951218,26259.719008264456,280,160,20,2,9.640040809523809,121.397394,0.0,30.35651541241023,202.440857,121.397394,0.0,15.572373615384617,37.36610151573444,81.042518,81.036391,0.000117,11.577502571428573,28.35647246571484,2,2,0,0,4,6,0,4,18,0,0,0.5714285714285714,126.0909090909091,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,210.25,0,14,8,1092,1682
